R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
D,45474.01378472222,45474.02547453704,50H14175,25735773,50R04352,14175,SNBU2295471,2200,GTHA,D38606165,A02,A05
D,45474.01391203704,45474.069131944445,51D12051,25735774,51R12044,12051,UETU5945188,4500,GTHA,D38606166,G02,G04
D,45474.01392361111,45474.0384375,50H35224,25735775,51R18693,35224,TCNU1991255,4500,GTHA,D38606167,A02,A05
R,45474.01425925926,45474.03052083333,68H03024,25735776,68R00156,03024,SEGU9958895,2230,HBCX,R38606168,D02,G04
R,45474.01431712963,45474.021261574075,70C11866,25735777,70R00905,11866,MSKU7151724,2200,HBCX,R38606169,B04,E01
R,45474.01466435185,45474.02821759259,51D63151,25735778,51R32602,63151,TLLU3636857,2200,HBCX,R38606172,B04,G04
D,45474.0146875,45474.032546296294,51C46504,25735779,50R04221,46504,TWCU2099888,2200,GTHA,D38606171,A02,A05
R,45474.01484953704,45474.02872685185,50H25219,25735780,50RM00140,25219,SEKU9330157,4530,HBCX,R38606173,D02,E01
R,45474.015231481484,45474.02247685185,61H08678,25735781,61R06035,08678,TRHU3163628,2200,HBCX,R38606174,B04,E01
R,45474.01534722222,45474.02809027778,50H17006,25735782,51R19674,17006,OOCU7024962,4500,HBCX,R38606175,A02,E01
R,45474.01550925926,45474.04673611111,61H04950,25735783,51R32000,04950,EIAU2603567,2270,NHAR,R38606159,D02,B08
D,45474.01550925926,45474.04673611111,61H04950,25735783,51R32000,04950,TLLU7994545,4500,GTHA,D38606176,D02,B08
D,45474.01584490741,45474.032164351855,50H01951,25735784,51R13771,01951,NSSU7153253,4500,GTHA,D38606177,A02,A05
D,45474.0159375,45474.030625,51D13686,25735785,51R9857,13686,OOCU7879844,4500,GTHA,D38606178,B04,B08
R,45474.016226851854,45474.03888888889,51C53975,25735786,50RM01601,53975,SKIU9096680,4500,HBCX,R38606179,B04,B08
R,45474.016493055555,45474.02790509259,71C09546,25735787,71R00365,09546,TRHU7872072,4500,HBCX,R38606180,B04,E01
R,45474.01673611111,45474.02552083333,60H03154,25735788,60R05310,03154,TRHU4535864,4500,HBCX,R38606161,B04,B08
D,45474.01710648148,45474.04247685185,34C26253,25735789,15R04809,26253,SEGU2488763,2200,GTHA,D38606181,B04,A05
R,45474.01746527778,45474.02974537037,70H02136,25735790,70R01139,02136,TLLU2406680,2200,HBCX,R38606182,B04,B08
D,45474.01795138889,45474.04542824074,60C49057,25735791,60R01922,49057,OOCU7870214,4500,GTHA,D38606183,A02,G04
R,45474.01795138889,45474.04542824074,60C49057,25735791,60R01922,49057,MSKU6396759,4500,HBCX,R38606187,A02,G04
R,45474.01797453704,45474.02915509259,71LD00135,25735792,71R00093,00135,CAIU5525586,4530,HBCX,R38606184,E04,B08
R,45474.01803240741,45474.04126157407,60H10663,25735793,51R18971,10663,CAAU6575167,4500,HBCX,R38606170,G02,G04
D,45474.018125,45474.02747685185,51D65374,25735794,51R40181,65374,SKLU3502534,2200,GTHA,D38606185,D02,B08
D,45474.0183912037,45474.03738425926,51C53730,25735795,51R30322,53730,STXU2060460,2200,GTHA,D38606189,B04,A05
R,45474.018645833334,45474.02782407407,51C99456,25735796,50R02346,99456,BSIU2953420,2200,HBCX,R38606190,B04,B08
R,45474.018738425926,45474.023831018516,70H01480,25735797,51R26704,01480,CBHU5761750,2200,HBCX,R38606191,A02,B08
D,45474.01892361111,45474.03953703704,57M0032,25735798,51R07686,M0032,BEAU2000645,2200,GTHA,D38606192,B04,E01
D,45474.01923611111,45474.03091435185,51D39113,25735799,51R13575,39113,TIIU2244844,2200,GTHA,D38606194,E04,G04
R,45474.01923611111,45474.03091435185,51D39113,25735799,51R13575,39113,TIIU2244628,2200,NHAR,R38606188,E04,G04
R,45474.01924768519,45474.03057870371,50LD18572,25735800,51R17013,18572,NYKU4356956,4500,HBCX,R38606193,B04,E01
R,45474.01931712963,45474.03042824074,71E00443,25735801,71R00339,00443,OOLU9496579,4500,HBCX,R38606195,A02,E01
D,45474.019791666666,45474.039618055554,51C21356,25735802,51R33192,21356,TGBU7428932,4500,GTHA,D38606196,G02,E01
D,45474.01982638889,45474.03177083333,51C74288,25735803,51R20037,74288,WHSU2825310,2200,GTHA,D38606197,B04,B08
D,45474.020104166666,45474.039247685185,60LD04017,25735804,60R06293,04017,CMAU6489001,4500,GTHA,D38606198,A02,A05
D,45474.02027777778,45474.03369212963,50H00357,25735805,51R40678,00357,AXEU2008240,2200,GTHA,D38606200,A02,G04
R,45474.02050925926,45474.027349537035,70C10230,25735806,70R00508,10230,TRHU3694753,2200,HBCX,R38606201,A02,B08
R,45474.02076388889,45474.03010416667,70H01909,25735808,51R07984,01909,HAHU2044696,2200,HBCX,R38606202,A02,E01
D,45474.02108796296,45474.04361111111,50LD19281,25735809,51R11938,19281,EMCU6104870,2200,GTHA,D38606203,G02,G04
D,45474.02119212963,45474.04016203704,50H04874,25735810,50R03760,04874,EGHU8344258,4500,GTHA,D38606204,A02,G04
R,45474.021261574075,45474.03099537037,70C05378,25735811,70R00960,05378,SUDU1928343,2200,HBCX,R38606205,B04,G04
D,45474.02137731481,45474.030625,50H35669,25735812,50RM01797,35669,SKLU1674560,2200,GTHA,D38606206,A02,A05
D,45474.02173611111,45474.03238425926,51C53647,25735813,51R11144,53647,EMCU3980631,2200,GTHA,D38606208,A02,B08
D,45474.02233796296,45474.03943287037,51C93173,25735814,17R00233,93173,PRFU5447026,2270,CRCD,D38606209,B04,B08
R,45474.022465277776,45474.03729166667,51C33133,25735815,51R07796,33133,TCKU7113458,4500,NHAR,R38606199,E04,G04
D,45474.022465277776,45474.03729166667,51C33133,25735815,51R07796,33133,KOCU2165768,2200,GTHA,D38606210,E04,G04
R,45474.02258101852,45474.0625,50H05623,25735816,50R03211,05623,GCXU8006667,4530,HBCX,R38606211,D02,B08
D,45474.02270833333,45474.042974537035,50H29475,25735817,70R00395,29475,KMTU9299328,4500,GTHA,D38606213,G02,A05
R,45474.022685185184,45474.04893518519,SM-119,25735818,51R10827,2390,YMMU6923701,4500,HANG,R38606212,B04,B08
D,45474.02296296296,45474.04326388889,29LD31008,25735819,49R00305,31008,DRYU4132590,4200,GTHA,D38606214,B04,G04
D,45474.02300925926,45474.04530092593,51D30262,25735820,51R08025,30262,HASU1060401,2200,GTHA,D38606215,A02,B08
D,45474.02300925926,45474.04530092593,51D30262,25735820,51R08025,30262,TEMU2095042,2200,GTHA,D38606216,A02,B08
D,45474.023206018515,45474.042025462964,50H08147,25735821,51R26145,08147,TRLU8868563,2200,GTHA,D38606217,B04,A05
D,45474.023356481484,45474.03359953704,50H29621,25735822,51R30543,29621,HACU2241737,2200,GTHA,D38606218,A02,B08
D,45474.02347222222,45474.061064814814,51C85396,25735823,51R15178,85396,DYLU2113147,2200,GTHA,D38605746,G02,G04
D,45474.023506944446,45474.038125,50H05857,25735824,51R34304,05857,UETU6442608,4500,GTHA,D38606220,A02,B08
D,45474.023506944446,45474.04949074074,60C14873,25735825,60R03527,14873,WHSU6723277,4500,GTHA,D38606219,B04,B08
D,45474.02394675926,45474.03771990741,50H04526,25735826,51R18523,04526,NSSU0199951,2200,GTHA,D38606040,A02,A05
D,45474.024143518516,45474.03939814815,51C54300,25735827,51R17141,54300,TRHU5783084,4500,GTHA,D38606222,A02,G04
R,45474.024560185186,45474.0346412037,61E01441,25735828,,01441,AXEU6020726,4500,NHAR,R38606221,E04,G04
R,45474.02462962963,45474.04309027778,50H45742,25735829,51R13231,45742,FTAU1845189,2200,HBCX,R38606223,A02,E01
R,45474.024872685186,45474.044594907406,51C91806,25735830,51R06347,91806,SITU9108159,4500,HBCX,R38606225,B04,B08
D,45474.024872685186,45474.044594907406,51C91806,25735830,51R06347,91806,SEKU1682228,2200,GTHA,D38606227,B04,B08
D,45474.02491898148,45474.039305555554,61C28787,25735831,51R30941,28787,YMMU6443699,4500,GTHA,D38606226,A02,B08
D,45474.02556712963,45474.06103009259,78H01574,25735832,78R00805,01574,CAAU6090572,4500,GTHA,D38606228,B04,B08
D,45474.025729166664,45474.04670138889,51C70830,25735834,51R14105,70830,TEMU3948807,2200,GTHA,D38606052,A02,A05
D,45474.02638888889,45474.05929398148,51C99744,25735835,51R08572,99744,TLLU4456910,4500,GTHA,D38606229,G02,G04
D,45474.026504629626,45474.03391203703,50H14706,25735836,50R04399,14706,SNBU2363318,2200,GTHA,D38606230,B04,A05
R,45474.026875,45474.035462962966,70C05769,25735837,70R01183,05769,APZU3834346,2200,HBCX,R38606233,B04,B08
R,45474.027083333334,45474.04493055555,81C07008,25735838,61R02147,07008,EMCU6433129,2200,HBCX,R38606234,G02,B08
