R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
R,45597.00498842593,45597.02947916667,51D64850,26882677,51R23859,64850,BMOU1475213,2200,HBCX,R40434054,B02,B08
D,45597.005011574074,45597.02837962963,51C52043,26882678,50RM03886,52043,TGBU6206740,4500,GTHA,D40434052,B02,A06
R,45597.00502314815,45597.0337037037,50H06861,26882679,51R50747,06861,IAAU6680825,2230,HBCX,R40434053,D02,B09
R,45597.00517361111,45597.031180555554,50LD13513,26882680,51R07081,13513,GESU9571828,2230,HBCX,R40434055,D02,B09
R,45597.00519675926,45597.01980324074,61C28661,26882681,61R05627,28661,MSKU7798515,2200,HBCX,R40434056,A01,E09
D,45597.00539351852,45597.070243055554,51D05571,26882682,51R26460,05571,TCNU4194445,4500,GTHA,D40434058,A03,A06
R,45597.00540509259,45597.041655092595,50H36841,26882683,50RM04755,36841,OERU4299162,4530,HBCX,R40434061,D02,A05
R,45597.005428240744,45597.019166666665,51C94366,26882684,51R15520,94366,KOCU4852629,4500,HBCX,R40434062,B05,E09
R,45597.00550925926,45597.0215625,51C20284,26882685,51R07199,20284,MEDU7221496,4500,HBCX,R40434064,A01,E09
D,45597.005520833336,45597.01204861111,51C93451,26882686,51R19359,93451,TEMU5706016,2200,GTHA,D40434059,G02,G04
R,45597.00560185185,45597.04148148148,51D15459,26882687,50R03598,15459,CXRU1154095,4530,HBCX,R40434066,D02,B09
D,45597.00560185185,45597.04148148148,51D15459,26882687,50R03598,15459,CKSU2202379,2200,GTHA,D40434068,D02,B09
R,45597.005694444444,45597.04200231482,51C54352,26882688,51R30760,54352,SEGU6660633,4500,HBQC,R40434067,B03,E09
D,45597.005694444444,45597.04200231482,51C54352,26882688,51R30760,54352,BEAU4973848,4500,GTHA,D40434070,B03,E09
D,45597.00581018518,45597.02484953704,57M1594,26882689,51R08157,M1594,CAAU6501837,4500,GTHA,D40434065,A03,A06
D,45597.00586805555,45597.02652777778,70G00321,26882690,,00321,WHSU2557178,2200,CAPR,E40434037,E02,E09
R,45597.0059375,45597.03068287037,70E00553,26882691,70R01639,00553,NBYU8077079,4500,HBCX,R40434071,A01,A05
D,45597.0059375,45597.03068287037,70E00553,26882691,70R01639,00553,WHSU2507198,2200,GTHA,D40434076,A01,A05
R,45597.005960648145,45597.03671296296,50H24795,26882692,,24795,MSDU7257222,4500,NHAR,R40433855,E02,E09
D,45597.005960648145,45597.03671296296,50H24795,26882692,,24795,PCIU1776508,2200,CAPR,E40434025,E02,E09
D,45597.00597222222,45597.01917824074,51C18271,26882693,50R03488,18271,TLLU8267432,2200,GTHA,D40434069,A03,A06
D,45597.00613425926,45597.031643518516,51C95642,26882694,51R23938,95642,BMOU1147277,2200,GTHA,D40434077,B02,A05
R,45597.00613425926,45597.031643518516,51C95642,26882694,51R23938,95642,CAAU8135491,4500,HBCX,R40434073,B02,A05
R,45597.006203703706,45597.022210648145,93C07701,26882695,93R00598,07701,FYCU7060410,2200,HBCX,R40434074,A03,G04
D,45597.00640046296,45597.023888888885,51D63522,26882696,51R33011,63522,IAAU1710017,4500,GTHA,D40434075,B03,B09
R,45597.00643518518,45597.04939814815,50H17389,26882697,51R23694,17389,SITU4919106,4530,HBCX,R40434078,D02,G04
D,45597.00644675926,45597.080972222226,50H25574,26882698,51R17746,25574,TRHU5413080,4500,GTHA,D40434072,D02,B09
D,45597.00650462963,45597.03224537037,50H05765,26882699,50RM01314,05765,CMAU2050812,2200,GTHA,D40434082,B05,A06
R,45597.00650462963,45597.03224537037,50H05765,26882699,50RM01314,05765,SEKU5822544,4500,HBCX,R40434079,B05,A06
R,45597.00671296296,45597.03778935185,51C34641,26882700,51R4653,34641,UETU5343241,4500,HBCX,R40434081,B03,B09
R,45597.006747685184,45597.02075231481,50H50385,26882701,51R31448,50385,TCLU3898329,2200,HBCX,R40434084,G02,G04
R,45597.00677083333,45597.02045138889,50H23753,26882702,51R50875,23753,EITU9295077,4500,HBCX,R40434085,B05,G04
D,45597.00686342592,45597.024363425924,60C03453,26882703,60R01277,03453,IAAU1689049,4500,GTHA,D40434080,D02,A06
R,45597.00690972222,45597.046875,51D44727,26882704,51R26281,44727,FFAU3119070,4500,HBCX,R40434083,A01,A05
D,45597.00690972222,45597.046875,51D44727,26882704,51R26281,44727,TGBU3306453,2200,GTHA,D40434086,A01,A05
R,45597.00697916667,45597.02979166667,51C66580,26882705,51R32437,66580,REGU3293050,2200,HBCX,R40434088,A03,B09
D,45597.0071875,45597.01767361111,50H43609,26882706,60R06547,43609,CAIU2686648,2200,GTHA,D40434087,D02,B08
R,45597.00724537037,45597.02385416667,50H46676,26882707,50RM00607,46676,TRHU2755350,2200,HBCX,R40434092,G02,G04
R,45597.007256944446,45597.06821759259,60H12612,26882708,60RM00439,12612,SKHU9947920,4500,HBCX,R40434093,A01,E09
D,45597.007256944446,45597.06821759259,60H12612,26882708,60RM00439,12612,TLLU3050470,2200,CAPR,E40434393,A01,E09
R,45597.00728009259,45597.01960648148,51C69265,26882709,50RM03822,69265,EOLU1655139,2200,HBCX,R40434090,B03,B08
R,45597.00729166667,45597.03061342592,63H01043,26882710,63R00790,01043,TCLU1910791,2230,HBCX,R40434091,D02,G04
D,45597.00743055555,45597.024560185186,51D35422,26882711,51R11827,35422,TCNU7384475,4500,GTHA,D40434094,E02,E09
R,45597.007569444446,45597.02407407408,51C50112,26882712,50RM02975,50112,CSNU6080298,4500,HBCX,R40434095,G02,E09
R,45597.00761574074,45597.02344907408,50H23766,26882713,51R32958,23766,TGBU5183954,4500,HBCX,R40434097,B02,B09
D,45597.0077662037,45597.02815972222,62H00753,26882714,62R00686,00753,FTAU1872585,2200,GTHA,D40434096,B05,A05
R,45597.0078125,45597.016388888886,51C95285,26882715,51R30794,95285,SEKU4406901,4500,HBCX,R40434098,A01,A05
