R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
D,45536.0080787037,45536.11211805556,50E11567,26323849,50RM02725,11567,OTPU6125048,4530,GTHA,D39539157,D02,B08
D,45536.00829861111,45536.025821759256,51D46911,26323850,51R24412,46911,WHSU0175730,2200,GTHA,D39539112,E04,A05
R,45536.00848379629,45536.024097222224,50H00041,26323851,70R00832,00041,CAAU7657803,4500,HBCX,R39539158,B04,B08
R,45536.00861111111,45536.02543981482,50H21777,26323852,51R40602,21777,MRSU6021440,4500,HBCX,R39539161,B02,B08
R,45536.00863425926,45536.06476851852,50H47044,26323853,51R32983,47044,FBIU5169012,4530,HBCX,R39539159,D01,B08
R,45536.008726851855,45536.02707175926,43H06675,26323854,51R12230,06675,SEGU2530272,2200,HBCX,R39539163,G02,G04
R,45536.008726851855,45536.05237268518,51C33484,26323855,51R05598,33484,CMAU8697072,4500,HBCX,R39539162,E04,E10
R,45536.00885416667,45536.05483796296,65N1536,26323856,65R00418,N1536,EMCU5655060,4530,HBCX,R39539165,D01,G04
D,45536.00891203704,45536.024201388886,50LD16506,26323857,50R05146,16506,GCXU6469549,4500,GTHA,D39539164,A02,B08
R,45536.00892361111,45536.02353009259,50H08411,26323858,51R25184,08411,FBIU5376581,4530,HBCX,R39539166,D02,B08
R,45536.0090625,45536.02716435185,50H10303,26323859,51R09068,10303,SKLU2316598,2200,HBCX,R39539167,B02,B08
R,45536.00912037037,45536.01982638889,50H50252,26323860,51R50484,50252,FBLU0127868,4500,HBCX,R39539168,B04,G04
R,45536.009571759256,45536.023935185185,50H05920,26323861,50R02259,05920,TGBU8047150,4500,HBCX,R39539172,G02,G04
D,45536.009618055556,45536.02820601852,61H00015,26323862,61R02275,00015,TWCU8071424,4500,GTHA,D39539171,G02,G04
R,45536.009618055556,45536.01556712963,51C99395,26323863,,99395,BEAU5983007,4500,NHAR,R39539147,E02,B08
R,45536.0096412037,45536.0321412037,79N2176,26323864,79R0313,N2176,BMOU9875160,4530,HBCX,R39539173,D02,B08
R,45536.00982638889,45536.07129629629,50H24341,26323865,51R30190,24341,SEGU9704545,4530,HBQC,R39539176,D02,G04
D,45536.009884259256,45536.02642361111,50H05918,26323866,50R04498,05918,BMOU1211144,2200,GTHA,D39539174,A02,A05
R,45536.009884259256,45536.02642361111,50H05918,26323866,50R04498,05918,TEMU1317870,2200,HBCX,R39539177,A02,A05
R,45536.01011574074,45536.02831018518,60H11466,26323867,51R21512,11466,YMLU5150727,4200,HBCX,R39539179,A02,G04
D,45536.0103125,45536.03486111111,51C74311,26323868,51R34858,74311,MRKU0735560,4200,GTHA,D39539178,B04,A05
R,45536.0103125,45536.03486111111,51C74311,26323868,51R34858,74311,MRSU4667148,4500,HBCX,R39539181,B04,A05
